age,annual_income,loan_amount,credit_score,employment_years,credit_card_count,late_payment_count,debt_income_ratio,savings_balance,property_value,dependents_count,city_tier,loan_status
56,121520,6141,507,12,4,1,0.46,72610,330446,0,2,1
46,145818,23019,307,2,9,8,0.69,52500,378380,4,2,1
32,81272,25384,828,2,4,14,0.39,40618,114467,4,2,1
60,112152,47903,465,23,0,0,0.12,26444,414494,5,2,1
25,142907,41129,795,4,5,8,0.18,86982,478057,3,3,1
38,87649,27967,889,25,8,0,0.5,95079,487929,3,2,1
56,84674,45603,728,10,1,14,0.65,57586,492762,4,3,1
36,144132,16172,462,29,6,13,0.37,25789,305908,5,2,1
40,139044,21390,665,6,5,6,0.66,2617,315192,4,3,1
28,128542,8267,825,20,4,5,0.66,4333,299212,5,3,1
28,33760,44332,538,23,3,6,0.66,41002,476506,5,2,0
41,41927,31167,371,9,3,14,0.49,64620,108906,5,2,1
53,106475,26312,744,9,5,2,0.83,88688,388781,5,2,1
57,81367,32840,808,19,3,13,0.49,90627,341922,0,2,1
41,117955,23990,568,1,4,2,0.46,1511,208497,0,1,1
20,32588,49179,714,2,5,12,0.26,38850,288117,4,1,0
39,141750,10906,544,7,4,10,0.35,83172,264460,5,3,1
19,121678,45379,359,10,6,0,0.13,87053,170918,2,3,1
41,124734,22297,305,12,8,3,0.61,32786,402180,5,1,1
61,138154,7011,869,6,9,11,0.3,75356,455890,2,3,1
47,72233,49014,706,12,6,1,0.34,37244,270979,0,2,1
55,64738,16738,516,1,6,9,0.72,75714,476269,5,3,1
19,53397,33797,325,5,3,7,0.36,68261,298505,1,3,1
38,102189,16120,304,8,0,2,0.29,19477,61957,4,3,1
50,96367,13767,831,19,7,6,0.24,47533,384788,5,1,1
29,144873,27852,689,24,3,6,0.72,35469,496832,3,1,1
39,91260,18703,870,1,0,11,0.2,9496,425438,2,3,1
61,140585,5929,747,17,4,8,0.46,13270,67829,5,2,1
42,96619,16951,445,15,7,5,0.51,77008,317981,1,3,1
44,131453,31039,687,24,3,0,0.65,21724,196104,2,1,1
59,39816,34504,548,11,7,7,0.61,31416,149770,1,2,1
45,62240,22438,825,6,7,0,0.75,36575,76352,4,3,1
33,26276,10744,761,6,2,2,0.14,82190,80215,4,1,1
32,133939,23284,312,16,8,10,0.34,77614,499535,4,2,1
64,124199,47417,683,12,2,4,0.32,94566,255714,0,3,1
61,99530,44748,855,10,0,7,0.22,74108,353391,1,1,1
20,43499,12069,698,5,1,8,0.33,18408,179692,5,2,1
54,108576,47359,318,28,5,14,0.35,20359,224120,3,3,1
24,128856,24799,874,22,9,6,0.52,9698,300186,3,2,1
38,102495,38210,790,26,1,8,0.63,71392,256604,4,2,1
26,141717,33226,718,13,5,10,0.4,94063,116714,3,2,1
56,91635,9652,636,5,0,2,0.68,40492,347463,2,1,1
35,127803,29323,718,5,0,12,0.37,75781,169058,1,3,1
21,105112,47138,421,1,4,4,0.33,44634,328169,1,2,1
42,55946,12597,731,21,9,9,0.53,43864,59780,1,2,1
31,75204,42226,343,19,8,7,0.12,95482,334850,2,2,1
26,71886,11591,616,24,7,11,0.16,38355,223988,5,1,1
43,91652,30833,680,14,2,0,0.43,38690,125503,0,2,1
19,35563,16826,444,27,2,7,0.85,38814,211928,2,1,1
37,112324,31417,626,16,0,6,0.68,32645,415310,1,1,1
45,112464,23693,662,28,2,0,0.17,85814,59179,1,2,1
64,121872,19138,349,7,0,12,0.78,73739,219695,1,2,1
24,29847,7169,364,4,7,12,0.69,57630,198659,5,1,1
61,46155,23556,654,16,0,9,0.59,49171,204805,3,1,1
25,99671,27052,463,19,4,11,0.76,22658,307282,0,2,1
64,136891,11313,440,0,8,9,0.42,16797,149423,2,1,1
52,103310,13315,427,21,6,14,0.28,59799,173076,1,1,1
31,87278,13036,697,17,3,11,0.51,99342,185047,4,2,1
34,38309,36778,762,14,8,5,0.54,97494,304477,0,2,1
53,20619,32734,486,4,8,0,0.53,53236,259527,4,3,0
57,103194,28173,489,6,1,1,0.55,7265,387282,0,2,1
21,70108,35403,687,17,9,4,0.86,73134,226535,1,2,1
19,54707,5785,728,5,9,1,0.82,83678,223226,0,2,1
23,40337,11139,583,21,5,13,0.8,54494,256748,0,3,1
59,145261,11344,536,20,3,9,0.74,53268,136706,1,1,1
21,101537,23800,493,4,7,0,0.85,27998,166905,5,2,1
46,86504,30372,586,29,6,5,0.18,92426,78830,4,2,1
35,67614,25538,435,18,6,7,0.31,95414,422220,5,3,1
43,111428,19973,470,9,9,7,0.5,62339,489961,4,3,1
61,111155,10619,458,14,8,12,0.78,15306,342753,3,3,1
51,20281,39704,500,9,4,12,0.5,65006,67401,4,1,0
27,47420,41575,786,26,5,7,0.7,48345,470945,4,3,1
53,100896,44919,856,15,0,10,0.21,12885,415624,0,1,1
31,59030,47261,882,11,5,5,0.3,44826,168278,3,2,1
48,21058,32716,803,17,1,10,0.69,56597,226239,1,2,0
32,106213,8236,670,22,5,2,0.23,8443,275253,1,2,1
25,96260,20848,402,0,8,0,0.38,98375,369535,2,3,1
31,48404,7352,424,15,7,1,0.31,18084,176543,3,2,1
40,123482,6932,612,21,8,4,0.38,90447,441030,0,3,1
57,125284,15913,757,5,9,12,0.67,5383,144583,2,1,1
38,49856,13556,529,2,7,9,0.39,93313,239243,2,2,1
33,29200,26300,496,1,2,4,0.54,35361,187719,1,1,1
62,84178,10498,722,27,7,9,0.18,81294,464322,4,3,1
35,53997,15582,871,1,5,13,0.74,62331,318159,0,3,1
64,45611,14569,470,29,5,0,0.4,96057,333650,3,2,1
41,139273,9857,681,12,5,0,0.62,21529,295221,2,2,1
43,61235,5340,472,8,2,14,0.68,59574,74067,0,3,1
42,137428,48949,752,15,9,8,0.27,89627,442963,1,2,1
62,55057,21766,649,26,0,1,0.81,97917,52056,2,2,1
58,21239,31132,793,4,3,6,0.59,31932,304770,2,1,0
46,123674,13491,303,22,9,9,0.44,2908,79328,5,3,1
32,134474,5138,392,27,5,3,0.25,31358,389856,1,1,1
62,85661,5358,305,20,9,6,0.85,31412,102832,5,2,1
18,146945,14714,587,6,1,7,0.7,84710,92771,1,1,1
42,65272,24840,445,12,6,4,0.27,82032,147421,1,3,1
24,109393,39395,723,19,6,12,0.37,3928,227587,5,1,1
26,81212,35654,756,23,3,11,0.75,66158,114538,0,1,1
41,144088,30879,501,28,3,11,0.66,31632,352295,0,2,1
18,35398,20996,511,26,0,0,0.71,33309,182701,0,3,1
61,140030,42772,305,29,1,3,0.45,10280,395607,4,2,1
25,76503,31762,675,25,8,9,0.67,41449,146853,2,2,1
41,26638,18283,746,12,9,2,0.41,88171,139432,0,3,1
28,26570,44420,405,26,7,9,0.27,27957,340299,4,1,0
34,88785,24554,700,25,7,14,0.61,37895,301529,2,2,1
25,29110,25219,395,6,8,11,0.88,71499,199360,0,1,1
52,125899,39919,687,9,6,4,0.35,94057,362732,1,3,1
52,99141,14429,751,14,8,9,0.47,99151,268023,3,2,1
50,32115,49695,715,20,9,12,0.64,22695,217157,0,1,0
22,59062,44673,803,26,1,9,0.53,75893,61251,3,1,1
59,42911,24218,753,5,5,12,0.77,64123,152420,0,2,1
56,124061,17452,590,4,2,5,0.71,26176,206646,1,3,1
58,52556,23951,833,22,5,1,0.15,19409,321767,3,1,1
45,98131,6307,492,27,2,6,0.9,57967,267544,4,3,1
24,148335,19852,449,1,7,12,0.7,1987,366859,1,2,1
26,21969,30232,814,20,3,2,0.79,55462,318267,3,1,1
25,63753,40428,692,14,9,14,0.62,68501,315205,3,1,1
29,102811,48171,615,25,5,0,0.79,97854,156393,5,1,1
51,24470,31485,375,15,8,9,0.19,27015,304216,5,3,0
50,141863,15238,898,18,1,2,0.38,95727,414179,1,1,1
40,30225,43975,569,8,1,8,0.8,67404,351239,1,1,0
41,127860,6140,524,28,6,9,0.26,51281,240690,1,2,1
54,143008,29842,829,21,1,10,0.16,38146,471667,2,1,1
52,127510,31421,412,28,1,10,0.73,49231,394041,4,3,1
61,128295,6708,550,25,3,14,0.77,30032,131443,0,2,1
57,43196,8630,532,18,8,5,0.23,29305,430149,5,2,1
39,125823,24595,382,6,7,10,0.78,55306,346958,3,1,1
44,33669,15485,424,3,1,5,0.65,89176,135141,5,2,1
52,57380,33308,474,29,7,3,0.52,19318,257940,0,1,1
18,144398,49789,368,2,3,14,0.76,14246,218904,1,2,1
52,130677,31086,346,23,1,7,0.44,34844,190517,5,3,1
54,135886,21859,555,28,9,4,0.26,33602,214562,4,1,1
64,146753,12684,329,19,6,6,0.33,22584,79767,4,3,1
31,68320,30552,580,10,5,8,0.5,16169,96057,2,1,1
20,67414,6207,536,0,9,12,0.53,26968,261818,5,3,1
18,123542,6960,547,5,4,12,0.74,7385,270767,1,3,1
22,35577,5557,667,25,0,13,0.73,74758,222115,3,2,1
43,145354,34689,794,10,1,4,0.57,26444,398899,2,1,1
31,108009,18893,324,26,7,10,0.72,63497,340090,1,2,1
56,146365,37272,885,0,0,13,0.25,6362,217659,2,3,1
44,75409,5882,789,20,2,4,0.14,9250,315508,5,1,1
26,48625,42529,793,6,1,13,0.8,69354,237160,0,3,1
32,101040,43635,613,5,4,3,0.16,37368,127015,5,3,1
32,44089,34535,674,13,3,5,0.3,45109,188470,1,3,1
43,56487,17869,324,1,6,1,0.66,81589,445668,3,3,1
59,85838,12166,633,26,4,2,0.43,58645,399352,3,2,1
30,116999,17982,654,3,7,0,0.8,57997,435352,1,3,1
49,130448,45697,415,10,3,1,0.34,28426,476409,2,2,1
56,114795,43115,347,14,5,1,0.11,40023,75345,4,3,1
49,70138,12269,398,17,3,7,0.34,60267,398039,1,1,1
21,62823,33064,758,26,1,7,0.56,25892,255407,5,3,1
47,57208,18527,822,0,0,1,0.4,60232,204125,3,3,1
54,74061,7454,896,2,0,12,0.53,95897,306624,0,1,1
40,50659,25878,704,2,7,13,0.8,60225,179022,3,1,1
56,149824,17991,513,27,3,5,0.83,17007,448231,4,3,1
62,121376,7808,802,6,4,14,0.31,80777,278273,3,3,1
32,51890,44410,747,0,7,4,0.47,45858,451873,4,2,1
60,99134,41593,875,24,6,2,0.54,46073,363260,1,1,1
46,67055,41304,557,10,7,4,0.86,90438,203023,3,1,1
53,132269,35386,420,5,7,4,0.9,91042,409743,2,2,1
30,39508,8802,353,19,5,4,0.29,84098,279351,5,3,1
49,62287,33753,630,2,9,2,0.68,21239,338665,2,3,1
24,98916,26083,540,18,1,14,0.4,63969,366575,5,1,1
39,46984,23354,829,1,5,2,0.11,14065,322875,3,2,1
45,130169,27190,782,17,0,3,0.11,42291,199816,3,3,1
19,28125,11142,486,29,0,6,0.47,39805,375238,5,1,1
59,56059,33398,561,11,2,11,0.49,99831,330567,0,3,1
62,89569,46862,663,28,2,11,0.12,19443,426756,3,3,1
23,123409,38132,790,9,4,11,0.65,10290,460784,0,3,1
45,37087,24503,730,4,0,13,0.34,1211,490627,0,1,1
45,126437,39631,538,8,9,1,0.55,84634,53934,5,2,1
61,135262,21499,603,1,5,9,0.34,20072,126945,0,2,1
61,25704,44852,597,1,6,3,0.23,44290,301554,0,3,0
37,80576,13016,375,27,9,3,0.43,86186,442587,1,2,1
47,93384,7384,632,5,2,0,0.29,16115,146946,2,3,1
28,107128,20072,773,28,3,9,0.53,6149,146344,0,1,1
45,131279,41703,582,9,9,7,0.26,42992,189244,2,1,1
42,92460,19482,890,17,9,0,0.51,18716,77358,0,1,1
56,47208,45510,371,11,9,7,0.23,98724,247385,2,3,1
50,138516,26826,562,3,9,6,0.64,14621,179774,3,2,1
18,149612,7490,874,21,9,8,0.7,7820,331907,3,1,1
44,105150,30518,311,20,2,7,0.19,43800,491889,2,3,1
30,86024,29045,440,16,0,4,0.47,56043,135997,0,2,1
58,59882,31910,854,14,7,7,0.16,31399,291830,1,2,1
20,45923,29566,316,5,9,13,0.58,15002,380119,2,2,1
56,146561,38905,362,15,9,14,0.31,44098,188876,4,3,1
23,134044,32103,552,16,1,10,0.52,46511,490810,1,3,1
25,121477,41188,764,2,0,9,0.51,54243,259820,4,3,1
44,49165,10845,675,9,7,11,0.84,29750,137189,2,1,1
26,87203,26162,819,4,6,14,0.54,92610,137507,0,3,1
54,111749,41674,389,13,6,11,0.57,18310,379669,4,1,1
50,24114,24337,474,25,3,2,0.42,56398,149248,2,1,1
59,84965,27313,375,28,8,14,0.86,83542,74604,1,1,1
61,56321,31943,699,20,5,9,0.72,76207,428729,0,3,1
41,93297,17413,370,12,1,6,0.33,45345,465351,4,1,1
32,116652,5276,479,25,0,11,0.78,94430,218990,2,3,1
49,119304,22611,423,5,0,3,0.45,92729,179716,0,3,1
49,133942,44105,680,11,8,4,0.76,52843,231921,0,1,1
41,45426,16944,592,25,3,8,0.76,11222,211919,3,1,1
58,37772,20906,494,7,4,6,0.25,90322,486990,0,1,1
29,123754,25536,527,4,2,3,0.66,32509,60680,2,3,1
56,23712,32810,730,29,3,5,0.33,1386,163508,1,3,0
19,21367,17306,735,14,7,9,0.34,65334,145619,5,1,1
20,126493,15503,760,26,3,13,0.34,68170,105037,3,1,1
54,127317,24225,320,15,8,10,0.68,41878,149969,2,2,1
34,135142,41976,363,0,8,6,0.28,70669,161115,2,1,1
19,111736,16590,464,15,5,12,0.1,39349,108914,2,2,1
19,71924,15886,326,4,1,9,0.67,22952,207381,4,2,1
45,23726,17866,610,2,9,12,0.24,91352,157255,4,3,1
40,109152,6088,584,19,6,8,0.18,22529,60349,1,3,1
54,47723,8363,580,14,8,3,0.29,72303,256068,2,2,1
49,146969,37792,463,12,5,9,0.4,42521,477769,4,2,1
50,123110,14764,523,23,2,2,0.48,19383,78525,4,1,1
18,120494,25620,445,15,6,7,0.14,5901,318092,4,2,1
36,29108,47727,329,22,4,14,0.88,43889,64498,1,1,0
19,97714,17935,344,10,0,0,0.67,15633,462207,1,3,1
61,55643,13068,770,20,2,8,0.36,63244,271582,2,1,1
43,51324,12295,333,1,4,12,0.35,20163,109790,3,3,1
49,123896,46160,726,21,6,0,0.46,60019,450876,2,2,1
23,103360,16390,520,26,2,1,0.6,11707,76245,4,2,1
49,130896,46216,833,5,5,12,0.22,89112,181310,5,2,1
21,28927,25131,666,25,4,7,0.25,84597,463136,4,1,1
28,113680,34218,849,25,0,8,0.79,46101,96659,0,3,1
34,116546,15433,881,29,9,6,0.31,45706,438127,5,3,1
55,42443,20038,415,26,5,2,0.4,78084,124874,5,3,1
41,99973,33182,538,5,7,6,0.8,16115,354661,2,3,1
22,83449,16528,634,13,0,5,0.63,76379,176618,4,3,1
51,129834,26281,740,24,1,1,0.37,40979,125885,4,1,1
23,125314,13605,447,10,3,2,0.65,41641,96350,3,3,1
39,96743,39782,308,7,1,10,0.12,70377,389323,0,2,1
28,141805,6381,587,7,8,12,0.69,7416,304251,2,3,1
33,80233,6098,687,0,9,11,0.49,11633,471490,1,2,1
50,45537,24810,349,20,7,12,0.75,1594,357157,2,1,1
